,Year,ISO3,NATO Member
290,1981,LAO,0
291,1981,LVA,0
292,1981,LBN,0
293,1981,LSO,0
294,1981,LBR,0
295,1981,LBY,0
296,1981,LIE,0
297,1981,LTU,0
298,1981,LUX,1
299,1981,MDG,0
300,1981,MWI,0
301,1981,MYS,0
302,1981,MDV,0
303,1981,MLI,0
304,1981,MLT,0
305,1981,MHL,0
306,1981,MRT,0
307,1981,MUS,0
308,1981,MEX,0
309,1981,FSM,0
310,1981,MDA,0
311,1981,MCO,0
312,1981,MNG,0
313,1981,MNE,0
314,1981,MAR,0
315,1981,MOZ,0
316,1981,MMR,0
317,1981,NAM,0
318,1981,NRU,0
319,1981,NPL,0
320,1981,NLD,1
321,1981,NZL,0
322,1981,NIC,0
323,1981,NER,0
324,1981,NGA,0
325,1981,MKD,0
326,1981,NOR,1
327,1981,OMN,0
328,1981,PAK,0
329,1981,PLW,0
330,1981,PSE,0
331,1981,PAN,0
332,1981,PNG,0
333,1981,PRY,0
334,1981,PER,0
335,1981,PHL,0
336,1981,POL,0
337,1981,PRT,1
338,1981,QAT,0
339,1981,ROU,0
340,1981,RUS,0
341,1981,RWA,0
342,1981,KNA,0
343,1981,LCA,0
344,1981,VCT,0
345,1981,WSM,0
346,1981,SMR,0
347,1981,STP,0
348,1981,SAU,0
349,1981,SEN,0
350,1981,SRB,0
351,1981,SYC,0
352,1981,SLE,0
353,1981,SGP,0
354,1981,SVK,0
355,1981,SVN,0
356,1981,SLB,0
357,1981,SOM,0
358,1981,ZAF,0
359,1981,SSD,0
360,1981,ESP,0
361,1981,LKA,0
362,1981,SDN,0
363,1981,SUR,0
364,1981,SWE,0
365,1981,CHE,0
366,1981,SYR,0
367,1981,TWN,0
368,1981,TJK,0
369,1981,TZA,0
370,1981,THA,0
371,1981,TLS,0
372,1981,TGO,0
373,1981,TON,0
374,1981,TTO,0
375,1981,TUN,0
376,1981,TUR,1
377,1981,TKM,0
378,1981,TUV,0
379,1981,UGA,0
380,1981,UKR,0
381,1981,ARE,0
382,1981,GBR,1
383,1981,USA,1
384,1981,URY,0
385,1981,UZB,0
386,1981,VUT,0
387,1981,VEN,0
388,1981,VNM,0
389,1981,YEM,0
390,1981,ZMB,0
391,1981,ZWE,0
392,1982,AFG,0
393,1982,ALB,0
394,1982,DZA,0
395,1982,AND,0
396,1982,AGO,0
397,1982,ATG,0
398,1982,ARG,0
399,1982,ARM,0
400,1982,AUS,0
401,1982,AUT,0
402,1982,AZE,0
403,1982,BHS,0
404,1982,BHR,0
405,1982,BGD,0
406,1982,BRB,0
407,1982,BLR,0
408,1982,BEL,1
409,1982,BLZ,0
410,1982,BEN,0
411,1982,BTN,0
412,1982,BOL,0
413,1982,BIH,0
414,1982,BWA,0
415,1982,BRA,0
416,1982,BRN,0
417,1982,BGR,0
418,1982,BFA,0
419,1982,BDI,0
420,1982,CPV,0
421,1982,KHM,0
422,1982,CMR,0
423,1982,CAN,1
424,1982,CAF,0
425,1982,TCD,0
426,1982,CHL,0
427,1982,CHN,0
428,1982,COL,0
429,1982,COM,0
430,1982,COD,0
431,1982,COG,0
432,1982,CRI,0
433,1982,HRV,0
434,1982,CUB,0
435,1982,CYP,0
436,1982,CZE,0
437,1982,DNK,1
438,1982,DJI,0
439,1982,DMA,0
440,1982,DOM,0
441,1982,ECU,0
442,1982,EGY,0
443,1982,SLV,0
444,1982,GNQ,0
445,1982,ERI,0
446,1982,EST,0
447,1982,SWZ,0
448,1982,ETH,0
449,1982,FJI,0
450,1982,FIN,0
451,1982,FRA,1
452,1982,GAB,0
453,1982,GMB,0
454,1982,GEO,0
455,1982,DEU,1
456,1982,GHA,0
457,1982,GRC,1
458,1982,GRD,0
459,1982,GTM,0
460,1982,GIN,0
461,1982,GNB,0
462,1982,GUY,0
463,1982,HTI,0
464,1982,VAT,0
465,1982,HND,0
466,1982,HUN,0
467,1982,ISL,1
468,1982,IND,0
469,1982,IDN,0
470,1982,IRN,0
471,1982,IRQ,0
472,1982,IRL,0
473,1982,ISR,0
474,1982,ITA,1
475,1982,JAM,0
476,1982,JPN,0
477,1982,JOR,0
478,1982,KAZ,0
479,1982,KEN,0
480,1982,KIR,0
481,1982,PRK,0
482,1982,KOR,0
483,1982,XKX,0
484,1982,KWT,0
485,1982,KGZ,0
486,1982,LAO,0
487,1982,LVA,0
488,1982,LBN,0
489,1982,LSO,0
490,1982,LBR,0
491,1982,LBY,0
492,1982,LIE,0
493,1982,LTU,0
494,1982,LUX,1
495,1982,MDG,0
496,1982,MWI,0
497,1982,MYS,0
498,1982,MDV,0
499,1982,MLI,0
500,1982,MLT,0
501,1982,MHL,0
502,1982,MRT,0
503,1982,MUS,0
504,1982,MEX,0
505,1982,FSM,0
506,1982,MDA,0
507,1982,MCO,0
508,1982,MNG,0
509,1982,MNE,0
510,1982,MAR,0
511,1982,MOZ,0
512,1982,MMR,0
513,1982,NAM,0
514,1982,NRU,0
515,1982,NPL,0
516,1982,NLD,1
517,1982,NZL,0
518,1982,NIC,0
519,1982,NER,0
520,1982,NGA,0
521,1982,MKD,0
522,1982,NOR,1
523,1982,OMN,0
524,1982,PAK,0
525,1982,PLW,0
526,1982,PSE,0
527,1982,PAN,0
528,1982,PNG,0
529,1982,PRY,0
530,1982,PER,0
531,1982,PHL,0
532,1982,POL,0
533,1982,PRT,1
534,1982,QAT,0
535,1982,ROU,0
536,1982,RUS,0
537,1982,RWA,0
538,1982,KNA,0
539,1982,LCA,0
540,1982,VCT,0
541,1982,WSM,0
542,1982,SMR,0
543,1982,STP,0
544,1982,SAU,0
545,1982,SEN,0
546,1982,SRB,0
547,1982,SYC,0
548,1982,SLE,0
549,1982,SGP,0
550,1982,SVK,0
551,1982,SVN,0
552,1982,SLB,0
553,1982,SOM,0
554,1982,ZAF,0
555,1982,SSD,0
556,1982,ESP,1
557,1982,LKA,0
558,1982,SDN,0
559,1982,SUR,0
560,1982,SWE,0
561,1982,CHE,0
562,1982,SYR,0
563,1982,TWN,0
564,1982,TJK,0
565,1982,TZA,0
566,1982,THA,0
567,1982,TLS,0
568,1982,TGO,0
569,1982,TON,0
570,1982,TTO,0
571,1982,TUN,0
572,1982,TUR,1
573,1982,TKM,0
574,1982,TUV,0
575,1982,UGA,0
576,1982,UKR,0
577,1982,ARE,0
578,1982,GBR,1
579,1982,USA,1
580,1982,URY,0
581,1982,UZB,0
582,1982,VUT,0
583,1982,VEN,0
584,1982,VNM,0
585,1982,YEM,0
586,1982,ZMB,0
587,1982,ZWE,0
588,1983,AFG,0
589,1983,ALB,0
590,1983,DZA,0
591,1983,AND,0
592,1983,AGO,0
593,1983,ATG,0
594,1983,ARG,0
595,1983,ARM,0
596,1983,AUS,0
597,1983,AUT,0
598,1983,AZE,0
599,1983,BHS,0
600,1983,BHR,0
601,1983,BGD,0
602,1983,BRB,0
603,1983,BLR,0
604,1983,BEL,1
605,1983,BLZ,0
606,1983,BEN,0
607,1983,BTN,0
608,1983,BOL,0
609,1983,BIH,0
610,1983,BWA,0
611,1983,BRA,0
612,1983,BRN,0
613,1983,BGR,0
614,1983,BFA,0
615,1983,BDI,0
616,1983,CPV,0
617,1983,KHM,0
618,1983,CMR,0
619,1983,CAN,1
620,1983,CAF,0
621,1983,TCD,0
622,1983,CHL,0
623,1983,CHN,0
624,1983,COL,0
625,1983,COM,0
626,1983,COD,0
627,1983,COG,0
628,1983,CRI,0
629,1983,HRV,0
630,1983,CUB,0
631,1983,CYP,0
632,1983,CZE,0
633,1983,DNK,1
634,1983,DJI,0
635,1983,DMA,0
636,1983,DOM,0
637,1983,ECU,0
638,1983,EGY,0
639,1983,SLV,0
640,1983,GNQ,0
641,1983,ERI,0
642,1983,EST,0
643,1983,SWZ,0
644,1983,ETH,0
645,1983,FJI,0
646,1983,FIN,0
647,1983,FRA,1
648,1983,GAB,0
649,1983,GMB,0
650,1983,GEO,0
651,1983,DEU,1
652,1983,GHA,0
653,1983,GRC,1
654,1983,GRD,0
655,1983,GTM,0
656,1983,GIN,0
657,1983,GNB,0
658,1983,GUY,0
659,1983,HTI,0
660,1983,VAT,0
661,1983,HND,0
662,1983,HUN,0
663,1983,ISL,1
664,1983,IND,0
665,1983,IDN,0
666,1983,IRN,0
667,1983,IRQ,0
668,1983,IRL,0
669,1983,ISR,0
670,1983,ITA,1
671,1983,JAM,0
672,1983,JPN,0
673,1983,JOR,0
674,1983,KAZ,0
675,1983,KEN,0
676,1983,KIR,0
677,1983,PRK,0
678,1983,KOR,0
679,1983,XKX,0
680,1983,KWT,0
681,1983,KGZ,0
682,1983,LAO,0
683,1983,LVA,0
684,1983,LBN,0
685,1983,LSO,0
686,1983,LBR,0
687,1983,LBY,0
688,1983,LIE,0
689,1983,LTU,0
690,1983,LUX,1
691,1983,MDG,0
692,1983,MWI,0
693,1983,MYS,0
694,1983,MDV,0
695,1983,MLI,0
696,1983,MLT,0
697,1983,MHL,0
698,1983,MRT,0
699,1983,MUS,0
700,1983,MEX,0
701,1983,FSM,0
702,1983,MDA,0
703,1983,MCO,0
704,1983,MNG,0
705,1983,MNE,0
706,1983,MAR,0
707,1983,MOZ,0
708,1983,MMR,0
709,1983,NAM,0
710,1983,NRU,0
711,1983,NPL,0
712,1983,NLD,1
713,1983,NZL,0
714,1983,NIC,0
715,1983,NER,0
716,1983,NGA,0
717,1983,MKD,0
718,1983,NOR,1
719,1983,OMN,0
720,1983,PAK,0
721,1983,PLW,0
