ISO3,year,score,indicator_id,source
LTU,2000,0.404292498051851,climate_readiness_score,ND-GAIN
LUX,2000,0.346089485764523,climate_readiness_score,ND-GAIN
MKD,2000,0.415887630300883,climate_readiness_score,ND-GAIN
MDG,2000,0.554302277607617,climate_readiness_score,ND-GAIN
MWI,2000,0.624087310931451,climate_readiness_score,ND-GAIN
MYS,2000,0.412367322003575,climate_readiness_score,ND-GAIN
MDV,2000,0.595228907506608,climate_readiness_score,ND-GAIN
MLI,2000,0.616471339476267,climate_readiness_score,ND-GAIN
MLT,2000,0.402135827125098,climate_readiness_score,ND-GAIN
MHL,2000,0.540190051151843,climate_readiness_score,ND-GAIN
MRT,2000,0.65395307955623,climate_readiness_score,ND-GAIN
MUS,2000,0.498301906046979,climate_readiness_score,ND-GAIN
MEX,2000,0.421984223394686,climate_readiness_score,ND-GAIN
FSM,2000,0.649954298057211,climate_readiness_score,ND-GAIN
MDA,2000,0.507243256881665,climate_readiness_score,ND-GAIN
MCO,2000,0.407853606719631,climate_readiness_score,ND-GAIN
MNG,2000,0.474516270220229,climate_readiness_score,ND-GAIN
MNE,2000,0.453727310942738,climate_readiness_score,ND-GAIN
MAR,2000,0.514126908740148,climate_readiness_score,ND-GAIN
MOZ,2000,0.519560433947368,climate_readiness_score,ND-GAIN
MMR,2000,0.548293419799918,climate_readiness_score,ND-GAIN
NAM,2000,0.563380044072627,climate_readiness_score,ND-GAIN
NRU,2000,0.493009324398135,climate_readiness_score,ND-GAIN
NPL,2000,0.580472058031803,climate_readiness_score,ND-GAIN
NLD,2000,0.364542592824086,climate_readiness_score,ND-GAIN
NZL,2000,0.307322602721405,climate_readiness_score,ND-GAIN
NIC,2000,0.468164933249446,climate_readiness_score,ND-GAIN
NER,2000,0.611052270053832,climate_readiness_score,ND-GAIN
NGA,2000,0.534541082039849,climate_readiness_score,ND-GAIN
NOR,2000,0.272852886350737,climate_readiness_score,ND-GAIN
OMN,2000,0.48760316775455,climate_readiness_score,ND-GAIN
PAK,2000,0.560397271296518,climate_readiness_score,ND-GAIN
PLW,2000,0.50910528285656,climate_readiness_score,ND-GAIN
PAN,2000,0.439666443161962,climate_readiness_score,ND-GAIN
PNG,2000,0.542393714667604,climate_readiness_score,ND-GAIN
PRY,2000,0.43301438354368,climate_readiness_score,ND-GAIN
PER,2000,0.469777152705088,climate_readiness_score,ND-GAIN
PHL,2000,0.485882577336337,climate_readiness_score,ND-GAIN
POL,2000,0.321973287334295,climate_readiness_score,ND-GAIN
PRT,2000,0.402196023989406,climate_readiness_score,ND-GAIN
QAT,2000,0.446468988218485,climate_readiness_score,ND-GAIN
ROU,2000,0.429105347726034,climate_readiness_score,ND-GAIN
RUS,2000,0.338367414365,climate_readiness_score,ND-GAIN
RWA,2000,0.652908624027852,climate_readiness_score,ND-GAIN
KNA,2000,0.509837914786939,climate_readiness_score,ND-GAIN
LCA,2000,0.353221690427763,climate_readiness_score,ND-GAIN
VCT,2000,0.428300682936095,climate_readiness_score,ND-GAIN
WSM,2000,0.530606690781394,climate_readiness_score,ND-GAIN
SMR,2000,,climate_readiness_score,ND-GAIN
STP,2000,0.575062166781839,climate_readiness_score,ND-GAIN
SAU,2000,0.480715854893124,climate_readiness_score,ND-GAIN
SEN,2000,0.553165764939699,climate_readiness_score,ND-GAIN
SRB,2000,0.467578048555146,climate_readiness_score,ND-GAIN
SYC,2000,0.477076434952025,climate_readiness_score,ND-GAIN
SLE,2000,0.60902718652818,climate_readiness_score,ND-GAIN
SGP,2000,0.395446747758433,climate_readiness_score,ND-GAIN
SVK,2000,0.389931579176824,climate_readiness_score,ND-GAIN
SVN,2000,0.381348036116948,climate_readiness_score,ND-GAIN
SLB,2000,0.627589682106525,climate_readiness_score,ND-GAIN
SOM,2000,0.678875978736941,climate_readiness_score,ND-GAIN
ZAF,2000,0.463316323366481,climate_readiness_score,ND-GAIN
ESP,2000,0.338042317441689,climate_readiness_score,ND-GAIN
LKA,2000,0.456520208904575,climate_readiness_score,ND-GAIN
SDN,2000,0.610606584167142,climate_readiness_score,ND-GAIN
SUR,2000,0.451057906144871,climate_readiness_score,ND-GAIN
SWZ,2000,0.544432748387294,climate_readiness_score,ND-GAIN
SWE,2000,0.323565119778686,climate_readiness_score,ND-GAIN
CHE,2000,0.313600976994008,climate_readiness_score,ND-GAIN
SYR,2000,0.482913416432491,climate_readiness_score,ND-GAIN
TJK,2000,0.413808815204657,climate_readiness_score,ND-GAIN
TZA,2000,0.544567875987458,climate_readiness_score,ND-GAIN
THA,2000,0.45704083410889,climate_readiness_score,ND-GAIN
TLS,2000,0.569817624619237,climate_readiness_score,ND-GAIN
TGO,2000,0.546687631797602,climate_readiness_score,ND-GAIN
TON,2000,0.596215155441286,climate_readiness_score,ND-GAIN
TTO,2000,0.408633492067182,climate_readiness_score,ND-GAIN
TUN,2000,0.424120161206912,climate_readiness_score,ND-GAIN
TUR,2000,0.421046392223772,climate_readiness_score,ND-GAIN
TKM,2000,0.453463509252148,climate_readiness_score,ND-GAIN
TUV,2000,0.558242936578944,climate_readiness_score,ND-GAIN
UGA,2000,0.562213877092275,climate_readiness_score,ND-GAIN
UKR,2000,0.429028471260294,climate_readiness_score,ND-GAIN
ARE,2000,0.460234570112024,climate_readiness_score,ND-GAIN
GBR,2000,0.266572640848166,climate_readiness_score,ND-GAIN
USA,2000,0.321621801203681,climate_readiness_score,ND-GAIN
URY,2000,0.422498203481318,climate_readiness_score,ND-GAIN
UZB,2000,0.41172416466097,climate_readiness_score,ND-GAIN
VUT,2000,0.580159314942179,climate_readiness_score,ND-GAIN
VEN,2000,0.387423705691692,climate_readiness_score,ND-GAIN
VNM,2000,0.529886012082773,climate_readiness_score,ND-GAIN
YEM,2000,0.607840386160169,climate_readiness_score,ND-GAIN
ZMB,2000,0.504690486007174,climate_readiness_score,ND-GAIN
ZWE,2000,0.519018239688902,climate_readiness_score,ND-GAIN
AFG,2001,0.642143734920346,climate_readiness_score,ND-GAIN
ALB,2001,0.507570974428974,climate_readiness_score,ND-GAIN
DZA,2001,0.462871578527973,climate_readiness_score,ND-GAIN
AND,2001,0.412187507268107,climate_readiness_score,ND-GAIN
AGO,2001,0.519123426125635,climate_readiness_score,ND-GAIN
ATG,2001,0.511952264980705,climate_readiness_score,ND-GAIN
ARG,2001,0.410378275271675,climate_readiness_score,ND-GAIN
ARM,2001,0.429740834357456,climate_readiness_score,ND-GAIN
AUS,2001,0.332307661765388,climate_readiness_score,ND-GAIN
AUT,2001,0.33375743856036,climate_readiness_score,ND-GAIN
AZE,2001,0.456847356894834,climate_readiness_score,ND-GAIN
BHS,2001,0.48309327982481,climate_readiness_score,ND-GAIN
BHR,2001,0.504974594295279,climate_readiness_score,ND-GAIN
BGD,2001,0.586477843946064,climate_readiness_score,ND-GAIN
BRB,2001,0.423351215942377,climate_readiness_score,ND-GAIN
BLR,2001,0.401119286199444,climate_readiness_score,ND-GAIN
BEL,2001,0.403311231894608,climate_readiness_score,ND-GAIN
BLZ,2001,0.511776580254909,climate_readiness_score,ND-GAIN
BEN,2001,0.595119244517327,climate_readiness_score,ND-GAIN
BTN,2001,0.568048732479343,climate_readiness_score,ND-GAIN
BOL,2001,0.489991202415782,climate_readiness_score,ND-GAIN
BIH,2001,0.411026518319852,climate_readiness_score,ND-GAIN
BWA,2001,0.530747496125653,climate_readiness_score,ND-GAIN
BRA,2001,0.405245317095169,climate_readiness_score,ND-GAIN
BRN,2001,0.448056668152313,climate_readiness_score,ND-GAIN
BGR,2001,0.409765075061406,climate_readiness_score,ND-GAIN
BFA,2001,0.563289271615936,climate_readiness_score,ND-GAIN
BDI,2001,0.620939647981878,climate_readiness_score,ND-GAIN
KHM,2001,0.54127686588839,climate_readiness_score,ND-GAIN
CMR,2001,0.488016570385304,climate_readiness_score,ND-GAIN
CAN,2001,0.313860971128918,climate_readiness_score,ND-GAIN
CPV,2001,0.490884502910243,climate_readiness_score,ND-GAIN
CAF,2001,0.575798998971252,climate_readiness_score,ND-GAIN
TCD,2001,0.643833829734158,climate_readiness_score,ND-GAIN
CHL,2001,0.37820869737847,climate_readiness_score,ND-GAIN
CHN,2001,0.406419881954688,climate_readiness_score,ND-GAIN
COL,2001,0.444790905535808,climate_readiness_score,ND-GAIN
COM,2001,0.563654971761526,climate_readiness_score,ND-GAIN
COG,2001,0.575052820822119,climate_readiness_score,ND-GAIN
COD,2001,0.580100690516637,climate_readiness_score,ND-GAIN
CRI,2001,0.424617228494768,climate_readiness_score,ND-GAIN
CIV,2001,0.50360761831782,climate_readiness_score,ND-GAIN
HRV,2001,0.415889954829345,climate_readiness_score,ND-GAIN
CUB,2001,0.456379060871262,climate_readiness_score,ND-GAIN
CYP,2001,0.377457296334661,climate_readiness_score,ND-GAIN
CZE,2001,0.30418348964624,climate_readiness_score,ND-GAIN
DNK,2001,0.328622637673457,climate_readiness_score,ND-GAIN
