ISO3,year,score,indicator_id,source
JAM,1995,0.365385635625187,climate_vulnerability_score,ND-GAIN
JPN,1995,0.588071025883201,climate_vulnerability_score,ND-GAIN
JOR,1995,0.354647908526157,climate_vulnerability_score,ND-GAIN
KAZ,1995,0.349936206870261,climate_vulnerability_score,ND-GAIN
KEN,1995,0.285848513170115,climate_vulnerability_score,ND-GAIN
KIR,1995,0.374214221623023,climate_vulnerability_score,ND-GAIN
PRK,1995,0.381126388154046,climate_vulnerability_score,ND-GAIN
KOR,1995,0.560646517482055,climate_vulnerability_score,ND-GAIN
KWT,1995,0.382544037482927,climate_vulnerability_score,ND-GAIN
KGZ,1995,0.352879258285922,climate_vulnerability_score,ND-GAIN
LAO,1995,0.296035909246096,climate_vulnerability_score,ND-GAIN
LVA,1995,0.474914435177169,climate_vulnerability_score,ND-GAIN
LBN,1995,0.304105819741506,climate_vulnerability_score,ND-GAIN
LSO,1995,0.308302949524084,climate_vulnerability_score,ND-GAIN
LBR,1995,0.260797263602496,climate_vulnerability_score,ND-GAIN
LBY,1995,0.299107605872433,climate_vulnerability_score,ND-GAIN
LIE,1995,0.54663750667555,climate_vulnerability_score,ND-GAIN
LTU,1995,0.456904867743679,climate_vulnerability_score,ND-GAIN
LUX,1995,0.532538809009381,climate_vulnerability_score,ND-GAIN
MKD,1995,0.359120523817977,climate_vulnerability_score,ND-GAIN
MDG,1995,0.314147250631417,climate_vulnerability_score,ND-GAIN
MWI,1995,0.302814269104916,climate_vulnerability_score,ND-GAIN
MYS,1995,0.388949508599725,climate_vulnerability_score,ND-GAIN
MDV,1995,0.385058346525186,climate_vulnerability_score,ND-GAIN
MLI,1995,0.323306917833793,climate_vulnerability_score,ND-GAIN
MLT,1995,0.442351709455647,climate_vulnerability_score,ND-GAIN
MHL,1995,0.341108999385559,climate_vulnerability_score,ND-GAIN
MRT,1995,0.344123401657189,climate_vulnerability_score,ND-GAIN
MUS,1995,0.443313868557841,climate_vulnerability_score,ND-GAIN
MEX,1995,0.356965374349773,climate_vulnerability_score,ND-GAIN
FSM,1995,0.351147824350561,climate_vulnerability_score,ND-GAIN
MDA,1995,0.420287043881225,climate_vulnerability_score,ND-GAIN
MCO,1995,0.678679909282927,climate_vulnerability_score,ND-GAIN
MNG,1995,0.4070238533496,climate_vulnerability_score,ND-GAIN
MNE,1995,0.412742489374807,climate_vulnerability_score,ND-GAIN
MAR,1995,0.356220464132302,climate_vulnerability_score,ND-GAIN
MOZ,1995,0.292948303797185,climate_vulnerability_score,ND-GAIN
MMR,1995,0.242186319159977,climate_vulnerability_score,ND-GAIN
NAM,1995,0.382929454305288,climate_vulnerability_score,ND-GAIN
NRU,1995,0.54655575190141,climate_vulnerability_score,ND-GAIN
NPL,1995,0.349121827422835,climate_vulnerability_score,ND-GAIN
