date,inflation_volatility_12m
2025-12-01,0.008179843007815308
2025-11-01,0.008340219891871477
2025-10-01,0.008273379432858911
2025-09-01,0.00803123959035948
2025-08-01,0.0076519536798298855
2025-07-01,0.007166201212237432
2025-06-01,0.006600799688611717
2025-05-01,0.005981310051365608
2025-04-01,0.005334508448622262
2025-03-01,0.004691366364798822
2025-02-01,0.004090976540524475
2025-01-01,0.0035847185596099597
2024-12-01,0.003235648593896306
2024-11-01,0.00371299604152821
2024-10-01,0.004399613107716399
2024-09-01,0.005213380974624798
2024-08-01,0.0060908820191345
2024-07-01,0.006985498338806472
2024-06-01,0.00786044902825849
2024-05-01,0.008683421610874325
2024-04-01,0.009422906888458968
2024-03-01,0.010045328164782277
2024-02-01,0.01051210402748772
2024-01-01,0.010775686196094222
2023-12-01,0.010772931483454897
2023-11-01,0.010574859185705296
2023-10-01,0.009791075639271087
2023-09-01,0.008643192172127062
2023-08-01,0.007324477090865814
2023-07-01,0.0060597588792542095
2023-06-01,0.005160528279262999
2023-05-01,0.004972503779149814
2023-04-01,0.005562828915231044
2023-03-01,0.006616332939576937
2023-02-01,0.0077591111506955125
2023-01-01,0.008698466096057518
2022-12-01,0.009164390046370008
2022-11-01,0.009622177700691589
2022-10-01,0.009991296606627505
2022-09-01,0.010279253673137216
2022-08-01,0.010491108850454187
2022-07-01,0.010630200646883312
2022-06-01,0.010698564439326201
2022-05-01,0.010697166839542414
2022-04-01,0.010626015350636675
2022-03-01,0.010484168115223342
2022-02-01,0.010269645039814326
2022-01-01,0.009979218505456931
2021-12-01,0.009608029050598045
2021-11-01,0.009565919087321153
2021-10-01,0.00913862996437248
2021-09-01,0.00843241236434497
2021-08-01,0.007524535848221441
2021-07-01,0.006477675307014299
2021-06-01,0.005348072174873007
2021-05-01,0.004192461557972577
2021-04-01,0.0030784911682548537
2021-03-01,0.002109795703893282
2021-02-01,0.0014833585454614088
2021-01-01,0.001405579608439838
2020-12-01,0.0016047688601530988
2020-11-01,0.0016795620621938815
2020-10-01,0.0017426758509311926
2020-09-01,0.0017947526520058622
2020-08-01,0.0018361321916615285
2020-07-01,0.0018669130839570351
2020-06-01,0.0018869842010379387
2020-05-01,0.0018960346822147604
2020-04-01,0.0018935457877531283
2020-03-01,0.0018787637176747498
2020-02-01,0.0018506482271095192
2020-01-01,0.0018077855325148782
2019-12-01,0.0017482423473154898
2019-11-01,0.0017228886753902
2019-10-01,0.001615687069947268
2019-09-01,0.0014527437701574017
2019-08-01,0.0012543207903309467
2019-07-01,0.0010395938991232465
2019-06-01,0.0008312999525246318
2019-05-01,0.0006624131145376205
2019-04-01,0.0005783521814541106
2019-03-01,0.0006036527470893576
2019-02-01,0.0007001060676913855
2019-01-01,0.0008052938172304999
2018-12-01,0.0008666077757650089
2018-11-01,0.0009758869942057075
2018-10-01,0.0011295129677080307
2018-09-01,0.001309506472014232
2018-08-01,0.0015016132117539886
2018-07-01,0.0016950915577723844
2018-06-01,0.001881396582820736
2018-05-01,0.002053062673003363
2018-04-01,0.002202888867320096
2018-03-01,0.0023232732265197746
2018-02-01,0.0024055146684405972
2018-01-01,0.002438852802982887
2017-12-01,0.002408823334912873
2017-11-01,0.0025453697366730255
2017-10-01,0.0026839317411153597
2017-09-01,0.0028192602998750476
2017-08-01,0.002946744684907688
2017-07-01,0.0030621987843794155
2017-06-01,0.0031616524804756233
2017-05-01,0.003241148428182539
2017-04-01,0.0032965298789705394
2017-03-01,0.003323193109735664
2017-02-01,0.0033157603494257818
2017-01-01,0.0032675936684522394
2016-12-01,0.0031699893513264217
2016-11-01,0.0030262747043898323
2016-10-01,0.0027093998486548906
2016-09-01,0.0023177874217382103
2016-08-01,0.0019607824495453466
2016-07-01,0.001779513859225653
2016-06-01,0.0018871276429937318
2016-05-01,0.0022506620474392483
2016-04-01,0.002743987712335848
2016-03-01,0.003258135960861348
2016-02-01,0.003714410645087745
2016-01-01,0.004044420184566428
2015-12-01,0.004170120174878882
2015-11-01,0.004163939224922261
2015-10-01,0.003995289954175423
2015-09-01,0.003707898963752865
2015-08-01,0.003333376750058023
2015-07-01,0.0028970035555529023
2015-06-01,0.0024208198260635156
2015-05-01,0.0019258022364395926
2015-04-01,0.001434252900639865
2015-03-01,0.0009744674388851234
2015-02-01,0.0005953383120025465
2015-01-01,0.0004040487896318023
2014-12-01,0.0004365132902538249
2014-11-01,0.0003913777653970715
2014-10-01,0.0003463758133518749
2014-09-01,0.00037104694565958806
2014-08-01,0.0004879750994226312
2014-07-01,0.0006619035241237426
2014-06-01,0.0008598196876015315
2014-05-01,0.0010620409051899649
2014-04-01,0.001254927994593441
2014-03-01,0.0014266033145106177
2014-02-01,0.0015647248161786936
2014-01-01,0.001654621106494094
2013-12-01,0.0016765261510577863
2013-11-01,0.001806859978849272
2013-10-01,0.0019629917028730296
2013-09-01,0.002133759131041378
2013-08-01,0.0023096234825294402
2013-07-01,0.002482496207098401
2013-06-01,0.0026452872735355498
2013-05-01,0.0027914194480059655
2013-04-01,0.002914366468780972
2013-03-01,0.0030071864819461495
2013-02-01,0.0030619740418422175
2013-01-01,0.0030690928360969684
2012-12-01,0.003015912671136116
2012-11-01,0.0028843664739825283
2012-10-01,0.0025824250794317842
2012-09-01,0.0022109887321433916
2012-08-01,0.0018836214122604133
2012-07-01,0.0017436968015983162
2012-06-01,0.0018920166106549117
2012-05-01,0.0022800501803948887
2012-04-01,0.0027833215634875505
2012-03-01,0.0032998304738566446
2012-02-01,0.003755208688697044
2012-01-01,0.004083177533415421
2011-12-01,0.004206733500250585
2011-11-01,0.0044488302944819475
2011-10-01,0.004694205640427057
2011-09-01,0.0049334419900620985
2011-08-01,0.005158314756472877
2011-07-01,0.005361398149250722
2011-06-01,0.005535685158642236
2011-05-01,0.0056742216315523
2011-04-01,0.0057697279681206155
2011-03-01,0.005814160770653453
2011-02-01,0.005798135777201391
